Frequency,Vout,Vin,PhaseShift
10,19.6,19.8,0
50,20.0,20.2,-.360
100,19.6,19.8,-3.60
175,20.0,20.2,-6.29
250,19.6,19.8,-9.90
500,19.2,20.0,-17.2
750,18.2,20.0,-25.3
1000,16.6,20.0,-30.9
1250,15.8,20.0,-36.3
1500,14.6,20.0,-41.2
1625,14.0,20.0,-41.5
1750,13.4,20.0,-45.6
2500,11.0,20.0,-56.5
3000,9.80,20.0,-58.5
3750,8.40,20.0,-63.1
5000,6.40,20.0,-69.1
6000,5.60,20.0,-70.6
7500,4.80,20.0,-73.5
10000,3.40,20.0,-78.1
25000,1.40,19.8,-84.8
50000,.720,19.8,-83.5
75000,.500,19.8,-88.1
100000,.360,19.8,-89.2
